search_id,date,source,query,result_count,pages_screened,new_candidates,notes
"arxiv-q1","2026-07-24","arXiv","multi-page table AND (recognition OR extraction OR detection)","3","1","3","API normalized to all query terms; titles and abstracts screened."
"arxiv-q2","2026-07-24","arXiv","cross-page table AND (continuation OR merging OR structure)","0","0","0","Exact all-term query returned no record; direct papers were found through DOI and title snowballing."
"arxiv-q3","2026-07-24","arXiv","table extraction AND (full document OR page context)","2","1","1","PubTables-v2 was the only directly relevant new candidate."
"arxiv-q4","2026-07-24","arXiv","hierarchical document parsing AND (graph OR relation)","3","1","1","One document-structure candidate plus unrelated graph results."
"arxiv-q5","2026-07-24","arXiv","table structure recognition AND (long table OR document)","24","1","7","First ten results screened; expanded with exact-title queries."
"arxiv-q6","2026-07-24","arXiv","document layout analysis AND (relationship OR reading order)","3","1","2","Reading-order and hierarchy candidates retained."
"arxiv-q7","2026-07-24","arXiv","template generalization AND document AI","43","1","2","First ten results screened; most were generic AI/template papers."
"dblp-q1","2026-07-24","DBLP","multi-page table AND (recognition OR extraction OR detection)","0","0","0","DBLP API all-term query; a looser phrase query returned six noisy hits and was also screened."
"dblp-q2","2026-07-24","DBLP","cross-page table AND (continuation OR merging OR structure)","0","0","0","DBLP API exact all-term query; looser phrase results were unrelated page-table computing papers."
"dblp-q3","2026-07-24","DBLP","table extraction AND (full document OR page context)","0","0","0","Exact query returned zero; looser query returned one irrelevant degraded-image paper."
"dblp-q4","2026-07-24","DBLP","hierarchical document parsing AND (graph OR relation)","0","0","0","Exact query returned zero; earlier rapid requests triggered HTTP 429 and were retried at low frequency."
"dblp-q5","2026-07-24","DBLP","table structure recognition AND (long table OR document)","0","0","0","Exact all-term query returned zero."
"dblp-q6","2026-07-24","DBLP","document layout analysis AND (relationship OR reading order)","0","0","0","Exact all-term query returned zero."
"dblp-q7","2026-07-24","DBLP","template generalization AND document AI","0","0","0","Exact all-term query returned zero."
"s2-q1","2026-07-24","Semantic Scholar","multi-page table AND (recognition OR extraction OR detection)","NA","0","0","Graph API returned HTTP 429 after low-frequency retry; no count inferred."
"s2-q2","2026-07-24","Semantic Scholar","cross-page table AND (continuation OR merging OR structure)","NA","0","0","Graph API returned HTTP 429; no count inferred."
"s2-q3","2026-07-24","Semantic Scholar","table extraction AND (full document OR page context)","NA","0","0","Graph API returned HTTP 429; no count inferred."
"s2-q4","2026-07-24","Semantic Scholar","hierarchical document parsing AND (graph OR relation)","NA","0","0","Graph API returned HTTP 429; no count inferred."
"s2-q5","2026-07-24","Semantic Scholar","table structure recognition AND (long table OR document)","NA","0","0","Graph API returned HTTP 429; no count inferred."
"s2-q6","2026-07-24","Semantic Scholar","document layout analysis AND (relationship OR reading order)","NA","0","0","Graph API returned HTTP 429; no count inferred."
"s2-q7","2026-07-24","Semantic Scholar","template generalization AND document AI","NA","0","0","Graph API returned HTTP 429; no count inferred."
"ieee-q1","2026-07-24","IEEE Xplore","multi-page table AND (recognition OR extraction OR detection)","NA","0","0","Public search endpoint returned HTTP 418; API key unavailable."
"ieee-q2","2026-07-24","IEEE Xplore","cross-page table AND (continuation OR merging OR structure)","NA","0","0","Public search endpoint returned HTTP 418; API key unavailable."
"ieee-q3","2026-07-24","IEEE Xplore","table extraction AND (full document OR page context)","NA","0","0","Public search endpoint returned HTTP 418; API key unavailable."
"ieee-q4","2026-07-24","IEEE Xplore","hierarchical document parsing AND (graph OR relation)","NA","0","0","Public search endpoint returned HTTP 418; API key unavailable."
"ieee-q5","2026-07-24","IEEE Xplore","table structure recognition AND (long table OR document)","NA","0","0","Public search endpoint returned HTTP 418; API key unavailable."
"ieee-q6","2026-07-24","IEEE Xplore","document layout analysis AND (relationship OR reading order)","NA","0","0","Public search endpoint returned HTTP 418; API key unavailable."
"ieee-q7","2026-07-24","IEEE Xplore","template generalization AND document AI","NA","0","0","Public search endpoint returned HTTP 418; API key unavailable."
