paper_id,title,year,venue,url,task,data,context,modality,method,metrics,code,status,notes
"smock2025pubtablesv2","PubTables-v2: A new large-scale dataset for full-page and multi-page table extraction","2025","arXiv","https://arxiv.org/abs/2512.10888","multi-page/cross-page table extraction","PubTables-v2","full document","vision+text","dataset plus VLM/page-model/continuation baselines","GriTS+TEDS+exact-match accuracy+continuation F1","https://huggingface.co/datasets/kensho/PubTables-v2","read","Evidence: 9172 documents contain 9492 multi-page tables; the ViT-B/16 continuation classifier reaches about 0.991 F1. On Full Documents, Claude Opus 4.6 has the highest Acc_Top 0.5799 and Acc_Con 0.2452, while Gemini 3.1 Pro has the highest GriTS_Con 0.9309. Limitation: evaluation includes every table in documents containing multi-page or multi-column tables and does not isolate merging from page extraction; multipart tables lack row/column bounding boxes."
"smock2026potatr","POTATR: A Lightweight Image-to-Graph Model for Page-Level Table Extraction","2026","arXiv","https://arxiv.org/abs/2606.09788","multi-page/cross-page table extraction","PubTables-v2","page plus full-document evaluation","vision+PDF text","29M DETR image-to-graph page extractor composed with ViT continuation and vertical merge","GriTS+TEDS+exact-match accuracy+caption F1+throughput","not released as of 2026-08-02","read","Evidence: POTATR plus merging reports Full Documents Acc_Top 0.4234, Acc_Con 0.2176, and GriTS_Con 0.8269; its Single Pages GriTS_Con is 0.964. Limitation: POTATR is trained on single pages, leaves multi-page optimization and within-page part merging out of scope, and uses simple vertical concatenation after continuation classification."
"qin2024bertcrosspage","Application of BERT-Based Semantic Matching Algorithm for Cross-Page Table Recognition","2024","Artificial Intelligence in China","https://doi.org/10.1007/978-981-99-7545-7_41","multi-page/cross-page table extraction","private financial PDFs","adjacent pages","PDF text","two-stage table segmentation plus BERT next-sentence semantic matching","precision+recall+F1","not reported","read","Evidence: directly formulates cross-page recognition and uses BERT semantic matching to decide whether page fragments continue; limitation: financial-domain text segmentation is detached from layout parsing and does not recover column/row correspondences or report document-level structural metrics."
"han2026vcct","VCCT: Vocabulary Constraint and Cross-page Context for Table Recognition in Power Grid Fault Reports","2026","SSRN preprint","https://doi.org/10.2139/ssrn.6811737","multi-page/cross-page table extraction","private power-grid fault reports","document","image+OCR text","vocabulary constraint plus cross-page context fusion and header/border pre-recognition","structure integrity rate+data accuracy+OCR metrics","not reported","read","Evidence: on 300 private cross-page tables, SIR is 82.0% and data accuracy is 86.3%; SIR requires no column misalignment, complete row retention, and precise header alignment. Limitation: domain-specific private data, no public code, unreviewed SSRN status, nonstandard metric, and serious citation-quality concerns prevent a general reproducible SOTA claim."
"lingdt2026ocr","LingDT-VL-OCR: Structure-Aware Document-Level Parsing with Fine-Grained Visual Reference","2026","arXiv","https://arxiv.org/abs/2603.11044","multi-page/cross-page table extraction","FinDocBench","document and cross-page table subset","vision+language","page-wise VLM parsing plus adaptive heuristic cross-page content consolidation","cross-page TEDS+layout mAP+reading order+cell IoU","not found as of 2026-08-02","read","Evidence: FinDocBench contains 1044 tables, including 472 spanning at least two pages; LingDT-VL-OCR reports mean TEDS 0.8915 on the 472 cross-page instances. Limitation: no exact-match score or same-subset competing baseline is reported, and no public dataset or code link was found in the paper."
"smock2022pubtables1m","PubTables-1M: Towards comprehensive table extraction from unstructured documents","2022","CVPR","https://arxiv.org/abs/2110.00061","page-level table extraction and TSR","PubTables-1M","crop+page","vision+PDF text","DETR Table Transformer with canonicalized cell and header annotations","AP+GriTS","https://github.com/microsoft/table-transformer","read","Evidence: nearly one million scientific tables with detailed boxes and canonicalization support detection structure and functional analysis using one transformer family; limitation: examples are individual tables/pages and provide no cross-page identity or continuation labels."
"zhong2020pubtabnet","Image-based table recognition: data model and evaluation","2020","ECCV","https://arxiv.org/abs/1911.10683","page-level table extraction and TSR","PubTabNet","table crop","vision","attention encoder dual decoder generating HTML","TEDS","https://github.com/ibm-aur-nlp/PubTabNet","read","Evidence: 568k table images and the EDD model improve complex-table TEDS by 9.7 absolute points over the reported prior state of the art; limitation: cropped-table HTML generation discards surrounding page and document relations."
"smock2023grits","GriTS: Grid Table Similarity Metric for Table Structure Recognition","2023","ICDAR","https://arxiv.org/abs/2203.12555","page-level table extraction and TSR","PubTables-1M","table crop","structure+text","2D most-similar-substructure heuristic over table matrices","GriTS_Top+GriTS_Loc+GriTS_Con","https://github.com/microsoft/table-transformer","read","Evidence: one matrix framework evaluates topology location and content and empirically gives almost identical upper/lower heuristic bounds; limitation: standard GriTS has no explicit table-chain or cross-page alignment component."
"smock2023aligning","Aligning Benchmark Datasets for Table Structure Recognition","2023","ICDAR","https://arxiv.org/abs/2303.00716","template/domain generalization and shortcut analysis","PubTables-1M+FinTabNet+ICDAR-2013","table crop","vision+PDF text","data canonicalization with fixed Table Transformer","exact match+GriTS","https://github.com/microsoft/table-transformer","read","Evidence: aligned training raises ICDAR-2013 exact match from 69% to 81% for combined data without changing the model; limitation: alignment is page/table-level and does not define document-template-disjoint splits or cross-page labels."
"nassar2022tableformer","TableFormer: Table Structure Understanding with Transformers","2022","CVPR","https://arxiv.org/abs/2203.01017","page-level table extraction and TSR","PubTabNet+FinTabNet","table crop","vision+PDF text","transformer structure decoder plus object-detection cell decoder","TEDS+cell matching","not reported","read","Evidence: reports TEDS rising to 98.5% on simple and 95% on complex tables while using PDF text for cells; limitation: assumes a cropped single table and cannot associate fragments across pages."
